agent_id,agent_name,shift_date,shift_start_datetime,shift_end_datetime,break_start_datetime,break_end_datetime,covered_intervals
1,Hercule Poirot,2026-01-01,2026-01-01T08:00:00,2026-01-01T16:00:00,2026-01-01T12:00:00,2026-01-01T12:30:00,15
2,Jane Marple,2026-01-01,2026-01-01T08:00:00,2026-01-01T16:00:00,2026-01-01T12:00:00,2026-01-01T12:30:00,15
3,Arthur Hastings,2026-01-01,2026-01-01T08:00:00,2026-01-01T16:00:00,2026-01-01T12:00:00,2026-01-01T12:30:00,15
4,Felicity Lemon,2026-01-01,2026-01-01T08:00:00,2026-01-01T16:00:00,2026-01-01T12:00:00,2026-01-01T12:30:00,15
5,James Japp,2026-01-01,2026-01-01T08:00:00,2026-01-01T16:00:00,2026-01-01T12:00:00,2026-01-01T12:30:00,15
6,Ariadne Oliver,2026-01-01,2026-01-01T08:00:00,2026-01-01T16:00:00,2026-01-01T12:00:00,2026-01-01T12:30:00,15
7,George Valet,2026-01-01,2026-01-01T08:00:00,2026-01-01T16:00:00,2026-01-01T12:00:00,2026-01-01T12:30:00,15
8,Tommy Beresford,2026-01-01,2026-01-01T08:00:00,2026-01-01T16:00:00,2026-01-01T12:00:00,2026-01-01T12:30:00,15
9,Tuppence Beresford,2026-01-01,2026-01-01T08:00:00,2026-01-01T16:00:00,2026-01-01T12:00:00,2026-01-01T12:30:00,15
10,Albert Batt,2026-01-01,2026-01-01T08:00:00,2026-01-01T16:00:00,2026-01-01T12:00:00,2026-01-01T12:30:00,15
11,Mr Carter,2026-01-01,2026-01-01T08:00:00,2026-01-01T16:00:00,2026-01-01T12:00:00,2026-01-01T12:30:00,15
12,Harley Quin,2026-01-01,2026-01-01T10:00:00,2026-01-01T18:00:00,2026-01-01T14:00:00,2026-01-01T14:30:00,15
13,Mr Satterthwaite,2026-01-01,2026-01-01T10:00:00,2026-01-01T18:00:00,2026-01-01T14:00:00,2026-01-01T14:30:00,15
14,Parker Pyne,2026-01-01,2026-01-01T10:00:00,2026-01-01T18:00:00,2026-01-01T14:00:00,2026-01-01T14:30:00,15
15,Colonel Race,2026-01-01,2026-01-01T10:00:00,2026-01-01T18:00:00,2026-01-01T14:00:00,2026-01-01T14:30:00,15
16,Superintendent Battle,2026-01-01,2026-01-01T10:00:00,2026-01-01T18:00:00,2026-01-01T14:00:00,2026-01-01T14:30:00,15
17,John Cavendish,2026-01-01,2026-01-01T10:00:00,2026-01-01T18:00:00,2026-01-01T14:00:00,2026-01-01T14:30:00,15
18,Mary Cavendish,2026-01-01,2026-01-01T10:00:00,2026-01-01T18:00:00,2026-01-01T14:00:00,2026-01-01T14:30:00,15
19,Lawrence Cavendish,2026-01-01,2026-01-01T11:00:00,2026-01-01T19:00:00,2026-01-01T15:00:00,2026-01-01T15:30:00,15
20,Emily Inglethorp,2026-01-01,2026-01-01T11:00:00,2026-01-01T19:00:00,2026-01-01T15:00:00,2026-01-01T15:30:00,15
21,Alfred Inglethorp,2026-01-01,2026-01-01T11:00:00,2026-01-01T19:00:00,2026-01-01T15:00:00,2026-01-01T15:30:00,15
22,Evelyn Howard,2026-01-01,2026-01-01T11:00:00,2026-01-01T19:00:00,2026-01-01T15:00:00,2026-01-01T15:30:00,15
23,Cynthia Murdoch,2026-01-01,2026-01-01T11:00:00,2026-01-01T19:00:00,2026-01-01T15:00:00,2026-01-01T15:30:00,15
24,Dr Bauerstein,2026-01-01,2026-01-01T11:00:00,2026-01-01T19:00:00,2026-01-01T15:00:00,2026-01-01T15:30:00,15
25,Paul Renauld,2026-01-01,2026-01-01T11:00:00,2026-01-01T19:00:00,2026-01-01T15:00:00,2026-01-01T15:30:00,15
26,Eloise Renauld,2026-01-01,2026-01-01T11:00:00,2026-01-01T19:00:00,2026-01-01T15:00:00,2026-01-01T15:30:00,15
27,Jack Renauld,2026-01-01,2026-01-01T11:00:00,2026-01-01T19:00:00,2026-01-01T15:00:00,2026-01-01T15:30:00,15
28,Marthe Daubreuil,2026-01-01,2026-01-01T11:00:00,2026-01-01T19:00:00,2026-01-01T15:00:00,2026-01-01T15:30:00,15
29,Madame Daubreuil,2026-01-01,2026-01-01T11:00:00,2026-01-01T19:00:00,2026-01-01T15:00:00,2026-01-01T15:30:00,15
30,Bella Duveen,2026-01-01,2026-01-01T11:00:00,2026-01-01T19:00:00,2026-01-01T15:00:00,2026-01-01T15:30:00,15
31,Dulcie Duveen,2026-01-01,2026-01-01T11:00:00,2026-01-01T19:00:00,2026-01-01T15:00:00,2026-01-01T15:30:00,15
32,Lucien Bex,2026-01-01,2026-01-01T11:00:00,2026-01-01T19:00:00,2026-01-01T15:00:00,2026-01-01T15:30:00,15
33,Monsieur Giraud,2026-01-01,2026-01-01T11:00:00,2026-01-01T19:00:00,2026-01-01T15:00:00,2026-01-01T15:30:00,15
34,Roger Ackroyd,2026-01-01,2026-01-01T11:00:00,2026-01-01T19:00:00,2026-01-01T15:00:00,2026-01-01T15:30:00,15
35,Ralph Paton,2026-01-01,2026-01-01T11:00:00,2026-01-01T19:00:00,2026-01-01T15:00:00,2026-01-01T15:30:00,15
36,Flora Ackroyd,2026-01-01,2026-01-01T11:00:00,2026-01-01T19:00:00,2026-01-01T15:00:00,2026-01-01T15:30:00,15
37,Ursula Bourne,2026-01-01,2026-01-01T11:00:00,2026-01-01T19:00:00,2026-01-01T15:00:00,2026-01-01T15:30:00,15
38,Caroline Sheppard,2026-01-01,2026-01-01T11:00:00,2026-01-01T19:00:00,2026-01-01T15:00:00,2026-01-01T15:30:00,15
39,James Sheppard,2026-01-01,2026-01-01T11:00:00,2026-01-01T19:00:00,2026-01-01T15:00:00,2026-01-01T15:30:00,15
40,Hector Blunt,2026-01-01,2026-01-01T11:00:00,2026-01-01T19:00:00,2026-01-01T15:00:00,2026-01-01T15:30:00,15
41,Geoffrey Raymond,2026-01-01,2026-01-01T11:00:00,2026-01-01T19:00:00,2026-01-01T15:00:00,2026-01-01T15:30:00,15
42,Cecil Ackroyd,2026-01-01,2026-01-01T11:00:00,2026-01-01T19:00:00,2026-01-01T15:00:00,2026-01-01T15:30:00,15
43,Mrs Ferrars,2026-01-01,2026-01-01T11:00:00,2026-01-01T19:00:00,2026-01-01T15:00:00,2026-01-01T15:30:00,15
44,Alexander Cust,2026-01-01,2026-01-01T11:00:00,2026-01-01T19:00:00,2026-01-01T15:00:00,2026-01-01T15:30:00,15
45,Franklin Clarke,2026-01-01,2026-01-01T11:00:00,2026-01-01T19:00:00,2026-01-01T15:00:00,2026-01-01T15:30:00,15
46,Megan Barnard,2026-01-01,2026-01-01T11:00:00,2026-01-01T19:00:00,2026-01-01T15:00:00,2026-01-01T15:30:00,15
47,Donald Fraser,2026-01-01,2026-01-01T11:00:00,2026-01-01T19:00:00,2026-01-01T15:00:00,2026-01-01T15:30:00,15
48,Mary Drower,2026-01-01,2026-01-01T11:00:00,2026-01-01T19:00:00,2026-01-01T15:00:00,2026-01-01T15:30:00,15
49,Thora Grey,2026-01-01,2026-01-01T11:00:00,2026-01-01T19:00:00,2026-01-01T15:00:00,2026-01-01T15:30:00,15
50,Carmichael Clarke,2026-01-01,2026-01-01T11:00:00,2026-01-01T19:00:00,2026-01-01T15:00:00,2026-01-01T15:30:00,15
51,Linnet Ridgeway,2026-01-01,2026-01-01T11:00:00,2026-01-01T19:00:00,2026-01-01T15:00:00,2026-01-01T15:30:00,15
52,Simon Doyle,2026-01-01,2026-01-01T11:00:00,2026-01-01T19:00:00,2026-01-01T15:00:00,2026-01-01T15:30:00,15
53,Jacqueline Bellefort,2026-01-01,2026-01-01T11:00:00,2026-01-01T19:00:00,2026-01-01T15:00:00,2026-01-01T15:30:00,15
54,Louise Bourget,2026-01-01,2026-01-01T11:00:00,2026-01-01T19:00:00,2026-01-01T15:00:00,2026-01-01T15:30:00,15
